scenario,policy,total_hit_rate,first_window_hit_rate,post_shift_hit_rate,worst_window_hit_rate,drop_vs_stable
stable,lru,0.3612886120772556,0.36084400026176056,0.36090436049161234,0.36084400026176056,0.0
stable,lfu,0.24737118822292323,0.24469691886292733,0.2476370538236671,0.24469691886292733,0.0
lru_break,lru,0.3557656132430399,0.36084400026176056,0.3525111317607467,0.3489772511261291,0.005522998834215698
lru_break,lfu,0.2261605024020374,0.24469691886292733,0.2219225073654854,0.21320474834328823,0.02121068582088584
lfu_break,lru,0.35622120146930913,0.36088424041499506,0.3503049667669302,0.3489772511261291,0.005067410607946465
lfu_break,lfu,0.22816253693040908,0.2466570088367538,0.2160712695247664,0.21320474834328823,0.019208651292514145
mixed_shift,lru,0.3555055792072471,0.3604672820944279,0.3518993419952654,0.3463599459154958,0.0057830328700084754
mixed_shift,lfu,0.2611754242724675,0.2733942914357236,0.25710733998713187,0.2506196469970902,-0.013804236049544255
